TOKEN_ID,TOKEN_NAME,IMAGE,TOKEN_URI,DNA,Hair,Clothing,Jewelry,Mouth,Type,Type,Eye Color,Facial Feature,Eyewear,Accessories,Back,Helmet
18878,CloneX #18878,https://clonex-assets.rtfkt.com/images/18878.png,https://clonex-assets.rtfkt.com/18878,Human,PURP Shape Up,SD Tee,,Ramen,,,YLLW,,,,,
18877,CloneX #18877,https://clonex-assets.rtfkt.com/images/18877.png,https://clonex-assets.rtfkt.com/18877,Human,NVY DRDZ,BLCK BNDN Shirt,SG-PDLCK,,,,PURP,SKULL WEBZ TAT,,,,
18876,CloneX #18876,https://clonex-assets.rtfkt.com/images/18876.png,https://clonex-assets.rtfkt.com/18876,Human,RCSave Cap,GM MONO HOODIE,GPURP Two Piece,,,,PNK-BLU,TRi War TAT,BTC,SLVR STUD,,
18875,CloneX #18875,https://clonex-assets.rtfkt.com/images/18875.png,https://clonex-assets.rtfkt.com/18875,Demon,BLCK Spike,THRML PFA JCKT,,Goatee,,,,,,,,
18874,CloneX #18874,https://clonex-assets.rtfkt.com/images/18874.png,https://clonex-assets.rtfkt.com/18874,Human,BLU Braid,BRWN Future Dress,,GLD GRILLS,,,CLSD PURP,333 TAT,,,,
18873,CloneX #18873,https://clonex-assets.rtfkt.com/images/18873.png,https://clonex-assets.rtfkt.com/18873,Angel,BLCK Cap,WAGMI Tee,,,,,,,,GLD Round,,
18872,CloneX #18872,https://clonex-assets.rtfkt.com/images/18872.png,https://clonex-assets.rtfkt.com/18872,Human,,JS Tee,SLVR CBLE,,,,BLU-PURP,,,,,
18871,CloneX #18871,https://clonex-assets.rtfkt.com/images/18871.png,https://clonex-assets.rtfkt.com/18871,Human,LLC Ponytail,CAMO BBL Vest,KAWAII CHRM,SMILEY RNBW,MURAKAMI DRIP,MURAKAMI DRIP,PNK,SMLY TAT,,,All Seeing Eyes,
18870,CloneX #18870,https://clonex-assets.rtfkt.com/images/18870.png,https://clonex-assets.rtfkt.com/18870,Human,WHT Hairclip,PURP Utility Vest,Blade CHKR,Angry,,,BLU,WARNING TAT,,,,
18869,CloneX #18869,https://clonex-assets.rtfkt.com/images/18869.png,https://clonex-assets.rtfkt.com/18869,Robot,Flower Hat,FLOOR Tee,,Ramen,MURAKAMI DRIP,MURAKAMI DRIP,,,Drip Scouter,,,
18868,CloneX #18868,https://clonex-assets.rtfkt.com/images/18868.png,https://clonex-assets.rtfkt.com/18868,Human,Rice Hat,GRNDT Fur Coat,BLCK-GLD ZK-BEADZ,Cigar,STONED,STONED,PURP,,,,,
18867,CloneX #18867,https://clonex-assets.rtfkt.com/images/18867.png,https://clonex-assets.rtfkt.com/18867,Demon,GRN BWLCUT,GRNDT Fur Coat,PURP G-Link,,,,,,,PTRA Earring,,
18866,CloneX #18866,https://clonex-assets.rtfkt.com/images/18866.png,https://clonex-assets.rtfkt.com/18866,Robot,BLCK Curtains,ORNG HiTECH Dress,,,MK1,MK1,,,,,,
18865,CloneX #18865,https://clonex-assets.rtfkt.com/images/18865.png,https://clonex-assets.rtfkt.com/18865,Angel,PURP Hacker,HVY MTL HOODIE,RBY Two Piece,,,,,,,,,
18864,CloneX #18864,https://clonex-assets.rtfkt.com/images/18864.png,https://clonex-assets.rtfkt.com/18864,Demon,BLCK Ponytail,PNK Fur Coat,Blade CHKR,,ICE,ICE,,,,,,
18863,CloneX #18863,https://clonex-assets.rtfkt.com/images/18863.png,https://clonex-assets.rtfkt.com/18863,Human,BRWN Unkept,V5 WHT SKL GRL,,,,,,,Cyber Eyes,,,
18862,CloneX #18862,https://clonex-assets.rtfkt.com/images/18862.png,https://clonex-assets.rtfkt.com/18862,Human,BRWN Long,CAMO BBL Vest,,,,,PNK-BLU,SMLY TAT,,,,
18861,CloneX #18861,https://clonex-assets.rtfkt.com/images/18861.png,https://clonex-assets.rtfkt.com/18861,Human,RD Spike,HVY MTL HOODIE,GLD CBLE,TCTL SMILE,,,PURP,,Cyborg V2,,,
18860,CloneX #18860,https://clonex-assets.rtfkt.com/images/18860.png,https://clonex-assets.rtfkt.com/18860,Human,BLU DRDZ,V1 NVY SKL GRL,KAWAII CHRM,,,,CLSD PURP,,,,,
18859,CloneX #18859,https://clonex-assets.rtfkt.com/images/18859.png,https://clonex-assets.rtfkt.com/18859,Angel,YU-BLU,PNK Waistcoast,,,MURAKAMI DRIP,MURAKAMI DRIP,SPINNING,,,,,
18858,CloneX #18858,https://clonex-assets.rtfkt.com/images/18858.png,https://clonex-assets.rtfkt.com/18858,Murakami,BLU Shape Up,RFX Tee,,RNBW GRILLS,MURAKAMI DRIP,MURAKAMI DRIP,PNK-BLU,,,,,
18857,CloneX #18857,https://clonex-assets.rtfkt.com/images/18857.png,https://clonex-assets.rtfkt.com/18857,Robot,LLC Tiara,YLLW BLW UP JCKT,,Jagged RNBW,MURAKAMI DRIP,MURAKAMI DRIP,PNK-BLU,,,,,
18856,CloneX #18856,https://clonex-assets.rtfkt.com/images/18856.png,https://clonex-assets.rtfkt.com/18856,Human,LLC Ponytail,PURP CAMO PFA JCKT,SLVR CBLE,,,,BLU CRYSTL,,,Neo Earrings,,
18855,CloneX #18855,https://clonex-assets.rtfkt.com/images/18855.png,https://clonex-assets.rtfkt.com/18855,Human,WHT 2 Horns,RTFKT CHROME Tee,SLVR Two Piece,SMILE,,,BLU,SMLY TAT,,,,
18854,CloneX #18854,https://clonex-assets.rtfkt.com/images/18854.png,https://clonex-assets.rtfkt.com/18854,Demon,WHT Horn Headband,GRN Fur Coat,,,,,,,,,,
18853,CloneX #18853,https://clonex-assets.rtfkt.com/images/18853.png,https://clonex-assets.rtfkt.com/18853,Human,Fro,RFX Tee,CHRM,WHT Long Beard,,,,,Cyber Eyes,,,
18852,CloneX #18852,https://clonex-assets.rtfkt.com/images/18852.png,https://clonex-assets.rtfkt.com/18852,Human,GRN BNGS,V1 BLU SKL GRL,,Ramen,,,GRN,,,,,
18851,CloneX #18851,https://clonex-assets.rtfkt.com/images/18851.png,https://clonex-assets.rtfkt.com/18851,Angel,RD Hairclip,CAMO PFA JCKT,GPURP Two Piece,,,,,,,,,
18850,CloneX #18850,https://clonex-assets.rtfkt.com/images/18850.png,https://clonex-assets.rtfkt.com/18850,Human,BLU KO2 Tiara,PURP CAMO PFA JCKT,,,MURAKAMI DRIP,MURAKAMI DRIP,SPINNING,,,,,
18849,CloneX #18849,,https://clonex-assets.rtfkt.com/18849,,,,,,,,,,,,,
18848,CloneX #18848,https://clonex-assets.rtfkt.com/images/18848.png,https://clonex-assets.rtfkt.com/18848,Robot,BRWN 1 Horn,BLCK VARSITY JCKT,,,,,,,Cyber Bindi,,,
18847,CloneX #18847,https://clonex-assets.rtfkt.com/images/18847.png,https://clonex-assets.rtfkt.com/18847,Robot,BLND Pigtails,WHT Utility Vest,ICED G-Link,,,,,,,,Robotic Arms,
18846,CloneX #18846,,https://clonex-assets.rtfkt.com/18846,,,,,,,,,,,,,
18845,CloneX #18845,,https://clonex-assets.rtfkt.com/18845,,,,,,,,,,,,,
18844,CloneX #18844,,https://clonex-assets.rtfkt.com/18844,,,,,,,,,,,,,
18843,CloneX #18843,,https://clonex-assets.rtfkt.com/18843,,,,,,,,,,,,,
18842,CloneX #18842,,https://clonex-assets.rtfkt.com/18842,,,,,,,,,,,,,
18841,CloneX #18841,,https://clonex-assets.rtfkt.com/18841,,,,,,,,,,,,,
18840,CloneX #18840,,https://clonex-assets.rtfkt.com/18840,,,,,,,,,,,,,
18839,CloneX #18839,,https://clonex-assets.rtfkt.com/18839,,,,,,,,,,,,,
18838,CloneX #18838,,https://clonex-assets.rtfkt.com/18838,,,,,,,,,,,,,
18837,CloneX #18837,,https://clonex-assets.rtfkt.com/18837,,,,,,,,,,,,,
18836,CloneX #18836,,https://clonex-assets.rtfkt.com/18836,,,,,,,,,,,,,
18835,CloneX #18835,,https://clonex-assets.rtfkt.com/18835,,,,,,,,,,,,,
18834,CloneX #18834,https://clonex-assets.rtfkt.com/images/18834.png,https://clonex-assets.rtfkt.com/18834,Robot,PNK OCTOPUS,RD BBL Vest,,,MURAKAMI DRIP,MURAKAMI DRIP,WIDE-OPEN,,,,,
18833,CloneX #18833,https://clonex-assets.rtfkt.com/images/18833.png,https://clonex-assets.rtfkt.com/18833,Robot,BLU Head Scarf,BRWN TCTL Vest,SLVR CBLE,,,,,,,,,
18832,CloneX #18832,https://clonex-assets.rtfkt.com/images/18832.png,https://clonex-assets.rtfkt.com/18832,Robot,GRN Stylish,CLNX FRSH Shirt,DRIP CHRM,,,,,,,,,
18831,CloneX #18831,https://clonex-assets.rtfkt.com/images/18831.png,https://clonex-assets.rtfkt.com/18831,Human,PNK Pigtails,GRN HAWAIIAN Shirt,,,,,BLU-PURP,,,,,
18830,CloneX #18830,https://clonex-assets.rtfkt.com/images/18830.png,https://clonex-assets.rtfkt.com/18830,Human,BRWN Stylish,BLU BLW UP JCKT,,,,,GRN,369 TAT,,,,
18829,CloneX #18829,https://clonex-assets.rtfkt.com/images/18829.png,https://clonex-assets.rtfkt.com/18829,Human,DAD Cap,BLU Tech JCKT,,1Tooth,,,BRWN,,,,,
18828,CloneX #18828,https://clonex-assets.rtfkt.com/images/18828.png,https://clonex-assets.rtfkt.com/18828,Human,WHT BWLCUT,WHT Jellyfish Tee,VVS PANDA,,MURAKAMI DRIP,MURAKAMI DRIP,SPINNING,,Eye Patch,,,
18827,CloneX #18827,https://clonex-assets.rtfkt.com/images/18827.png,https://clonex-assets.rtfkt.com/18827,Angel,GRN Cyber Dreads,BLCK PIN BKR JCKT,,,Divine,Divine,,,Assault Glasses,SLVR Round,,
18826,CloneX #18826,https://clonex-assets.rtfkt.com/images/18826.png,https://clonex-assets.rtfkt.com/18826,Human,PURP Curtains,FLOOR Tee,,Organism M78.8,MURAKAMI DRIP,MURAKAMI DRIP,PNK-BLU,TRi HRUS TAT,,,,
18825,CloneX #18825,https://clonex-assets.rtfkt.com/images/18825.png,https://clonex-assets.rtfkt.com/18825,Human,PNK BWLCUT,BLU BNDN Shirt,DRIP CHRM,INFCTD,,,GRN,,,,,
18824,CloneX #18824,https://clonex-assets.rtfkt.com/images/18824.png,https://clonex-assets.rtfkt.com/18824,Robot,Bunny,BRWN Fur Coat,,,,,,,,,,
18823,CloneX #18823,https://clonex-assets.rtfkt.com/images/18823.png,https://clonex-assets.rtfkt.com/18823,Human,GHOST PIRATE,IRI BLW UP JCKT,,,,,YLLW,TRi HRUS TAT,,,,
18822,CloneX #18822,https://clonex-assets.rtfkt.com/images/18822.png,https://clonex-assets.rtfkt.com/18822,Demon,BLU Stylish,BLU ORNG BNDN Shirt,,,,,,Angry TAT,,,,
18821,CloneX #18821,https://clonex-assets.rtfkt.com/images/18821.png,https://clonex-assets.rtfkt.com/18821,Human,GRN Cyber Dreads,BLU Tech JCKT,,INFCTD,,,YLLW,,Aviator,,,
18820,CloneX #18820,https://clonex-assets.rtfkt.com/images/18820.png,https://clonex-assets.rtfkt.com/18820,Demon,BRWN 1 Horn,RD BBL Vest,GLD Iced Cuban,Romantico,DRK,DRK,,,Cyber Eye Patch,,,
18819,CloneX #18819,https://clonex-assets.rtfkt.com/images/18819.png,https://clonex-assets.rtfkt.com/18819,Demon,PNK Spiked,BRED KBA JCKT,KAWAII CHRM,RNBW GRILLS,,,,,,,,
18818,CloneX #18818,https://clonex-assets.rtfkt.com/images/18818.png,https://clonex-assets.rtfkt.com/18818,Demon,PNK BWLCUT,BRED KBA JCKT,RNBW CBLE,Romantico,,,,,Eye Patch,,,
18817,CloneX #18817,https://clonex-assets.rtfkt.com/images/18817.png,https://clonex-assets.rtfkt.com/18817,Human,PNK Ponytail,GM MONO HOODIE,,ARMRD Mutant,,,BLU,,,,,
18816,CloneX #18816,https://clonex-assets.rtfkt.com/images/18816.png,https://clonex-assets.rtfkt.com/18816,Human,GRN Head Scarf,BLCK BKR JCKT,,,,,BLU-PURP,,,,,
18815,CloneX #18815,https://clonex-assets.rtfkt.com/images/18815.png,https://clonex-assets.rtfkt.com/18815,Human,BLCK BRDZ,V4 WHT SKL GRL,G-PDLCK,,,,YLLW,,Drip Scouter,SLVR STUD,,
18814,CloneX #18814,https://clonex-assets.rtfkt.com/images/18814.png,https://clonex-assets.rtfkt.com/18814,Human,BLND Stylish,Blade Melt Tee,,Organism M78.8,MURAKAMI DRIP,MURAKAMI DRIP,WIDE-OPEN,,,,SPLASH,
18813,CloneX #18813,https://clonex-assets.rtfkt.com/images/18813.png,https://clonex-assets.rtfkt.com/18813,Human,BLCK Curtains,GM MONO HOODIE,S-HIRE CBLE,,,,PNK-BLU,333 VSN TAT,VSN Glasses,,,
18812,CloneX #18812,https://clonex-assets.rtfkt.com/images/18812.png,https://clonex-assets.rtfkt.com/18812,Demon,BLND Stylish,PURP KBA JCKT,,,,,,,,,Sword Sheath,
18811,CloneX #18811,https://clonex-assets.rtfkt.com/images/18811.png,https://clonex-assets.rtfkt.com/18811,Angel,PNK Ponytail,BLU BNDN Shirt,SG-PDLCK,,,,,,,,,
18810,CloneX #18810,https://clonex-assets.rtfkt.com/images/18810.png,https://clonex-assets.rtfkt.com/18810,Robot,PNK BWLCUT,RCS Tee,SLVR Two Piece,SFTY Mask,,,,,,,,
18809,CloneX #18809,https://clonex-assets.rtfkt.com/images/18809.png,https://clonex-assets.rtfkt.com/18809,Robot,BLU Curtains,BLU BNDN Shirt,,Angry,MK-BLCK,MK-BLCK,,,,,,
18808,CloneX #18808,https://clonex-assets.rtfkt.com/images/18808.png,https://clonex-assets.rtfkt.com/18808,Human,BLND Quiff,LIME GANG,,RNBW GRILLZ,,,YLLW,,,,,
18807,CloneX #18807,https://clonex-assets.rtfkt.com/images/18807.png,https://clonex-assets.rtfkt.com/18807,Demon,BLCK KO2 Tiara,RD VARSITY JCKT,,,MURAKAMI DRIP,MURAKAMI DRIP,WIDE-OPEN,,Cyborg V1,,,
18806,CloneX #18806,https://clonex-assets.rtfkt.com/images/18806.png,https://clonex-assets.rtfkt.com/18806,Human,GRN Cyber Dreads,WHT KBA JCKT,MRBLE G-Link,ORNG Long Beard,,,BLU,,Snow Storm,,,
18805,CloneX #18805,https://clonex-assets.rtfkt.com/images/18805.png,https://clonex-assets.rtfkt.com/18805,Human,,PURP CAMO METAJACKET,,,,,,Angry TAT,Cyber Eyes,,,
18804,CloneX #18804,https://clonex-assets.rtfkt.com/images/18804.png,https://clonex-assets.rtfkt.com/18804,Human,GRN Hacker,CLNX Tee,,,,,PNK,,Snow Storm,,,
18803,CloneX #18803,https://clonex-assets.rtfkt.com/images/18803.png,https://clonex-assets.rtfkt.com/18803,Robot,BLCK Ponytailz,SD Tee,CYN Two Piece,,MK-BLCK,MK-BLCK,,,,,,
18802,CloneX #18802,https://clonex-assets.rtfkt.com/images/18802.png,https://clonex-assets.rtfkt.com/18802,Human,GRN Stylish,PURP KBA JCKT,,,,,GRN,EKO TAT,,,,
18801,CloneX #18801,https://clonex-assets.rtfkt.com/images/18801.png,https://clonex-assets.rtfkt.com/18801,Human,RD DRDZ,LIME GANG,SLVR CBLE,,,,BLU-PURP,,,PTRA Earring,,
18800,CloneX #18800,https://clonex-assets.rtfkt.com/images/18800.png,https://clonex-assets.rtfkt.com/18800,Human,BLND Curtains,PURP Utility Vest,GLD G-Link,,,,BLU,On-Sight TAT,,,,
18799,CloneX #18799,https://clonex-assets.rtfkt.com/images/18799.png,https://clonex-assets.rtfkt.com/18799,Robot,ZK Bucket,RD VARSITY JCKT,,SFTY Mask,MK1,MK1,,,,PTRA Earring,,
18798,CloneX #18798,https://clonex-assets.rtfkt.com/images/18798.png,https://clonex-assets.rtfkt.com/18798,Human,,BRED KBA JCKT,,TCTL SMILE,STONED,STONED,BLU,,,,,
18797,CloneX #18797,,https://clonex-assets.rtfkt.com/18797,,,,,,,,,,,,,
18796,CloneX #18796,https://clonex-assets.rtfkt.com/images/18796.png,https://clonex-assets.rtfkt.com/18796,Robot,YU-BRED,BLU BNDN Shirt,,,,,,,Assault Glasses,,,
18795,CloneX #18795,https://clonex-assets.rtfkt.com/images/18795.png,https://clonex-assets.rtfkt.com/18795,Human,PURP Shape Up,MONO Tee,,,,,BLU,,,,,
18794,CloneX #18794,,https://clonex-assets.rtfkt.com/18794,,,,,,,,,,,,,
18793,CloneX #18793,https://clonex-assets.rtfkt.com/images/18793.png,https://clonex-assets.rtfkt.com/18793,Robot,PURP Curtains,STRIPE Tee,,,,,,,BLU LAZER,SLVR Round,,
18792,CloneX #18792,https://clonex-assets.rtfkt.com/images/18792.png,https://clonex-assets.rtfkt.com/18792,Robot,BRWN Ponytail,BLU GRNG Dress,GLD Two Piece,,,,,,SPiKED BILLIONAIRE,Gold Round Earrings,,
18791,CloneX #18791,https://clonex-assets.rtfkt.com/images/18791.png,https://clonex-assets.rtfkt.com/18791,Robot,GOAT HRNZ,CLNX FRSH Shirt,,,,,,,,GLD Round,,
18790,CloneX #18790,https://clonex-assets.rtfkt.com/images/18790.png,https://clonex-assets.rtfkt.com/18790,Demon,PNK Shape Up,CLNX FRSH Shirt,SLVR Two Piece,ICED GRILLZ,,,,,,,,
18789,CloneX #18789,https://clonex-assets.rtfkt.com/images/18789.png,https://clonex-assets.rtfkt.com/18789,Human,NEON Cap,BRED KBA JCKT,DRIP CHRM,ROBO,,,BLU,Scratch Scarz,,,,
18788,CloneX #18788,https://clonex-assets.rtfkt.com/images/18788.png,https://clonex-assets.rtfkt.com/18788,Demon,GRY KO2 Tiara,V1 NVY SKL GRL,,,MURAKAMI DRIP,MURAKAMI DRIP,SPINNING,,,,,
18787,CloneX #18787,https://clonex-assets.rtfkt.com/images/18787.png,https://clonex-assets.rtfkt.com/18787,Human,PURP Cyber Cat,NEON HOODIE,S-HIRE G-Link,,,,CLSD PNK,,,Cross Earring,,
18786,CloneX #18786,https://clonex-assets.rtfkt.com/images/18786.png,https://clonex-assets.rtfkt.com/18786,Robot,GRN Hacker,PURP CAMO PFA JCKT,,,,,,,SPiKED BILLIONAIRE,,,
18785,CloneX #18785,https://clonex-assets.rtfkt.com/images/18785.png,https://clonex-assets.rtfkt.com/18785,Human,GRN Hacker,BLCK Tee,,,,,GRN,,DRIP VISION,,Sword Sheath,
18784,CloneX #18784,https://clonex-assets.rtfkt.com/images/18784.png,https://clonex-assets.rtfkt.com/18784,Human,YU-BRED,28 JCKT,,,STONED,STONED,GRN,,,,,
18783,CloneX #18783,https://clonex-assets.rtfkt.com/images/18783.png,https://clonex-assets.rtfkt.com/18783,Angel,,PURP CAMO METAJACKET,,GLD GRILLS,,,,,,,,
18782,CloneX #18782,https://clonex-assets.rtfkt.com/images/18782.png,https://clonex-assets.rtfkt.com/18782,Angel,TEAL Spiked,BRED KBA JCKT,RBY Two Piece,,Divine,Divine,,,,,,
18781,CloneX #18781,https://clonex-assets.rtfkt.com/images/18781.png,https://clonex-assets.rtfkt.com/18781,Robot,BLCK Stylish,SD Tee,,,,,,,,,Diety Arms,
18780,CloneX #18780,https://clonex-assets.rtfkt.com/images/18780.png,https://clonex-assets.rtfkt.com/18780,Demon,DOB Hat,WHT Jellyfish Tee,S-PDLCK,,MURAKAMI DRIP,MURAKAMI DRIP,SPINNING,,,,,
18779,CloneX #18779,https://clonex-assets.rtfkt.com/images/18779.png,https://clonex-assets.rtfkt.com/18779,Robot,WHT Turban,BLCK BKR JCKT,,,MK1,MK1,,,,,,
18778,CloneX #18778,https://clonex-assets.rtfkt.com/images/18778.png,https://clonex-assets.rtfkt.com/18778,Human,RD Spike,CLNX Tee,CYN Two Piece,,,,,,Cyber Eyes,,,
18777,CloneX #18777,https://clonex-assets.rtfkt.com/images/18777.png,https://clonex-assets.rtfkt.com/18777,Demon,BLCK Quiff,FLOOR Tee,,,MURAKAMI DRIP,MURAKAMI DRIP,HALF-OPEN,,,,,
18776,CloneX #18776,https://clonex-assets.rtfkt.com/images/18776.png,https://clonex-assets.rtfkt.com/18776,Demon,BLU Braid,FRSH Shirt,,Cyber Jaw,,,,,,,,
18775,CloneX #18775,https://clonex-assets.rtfkt.com/images/18775.png,https://clonex-assets.rtfkt.com/18775,Human,PNK MoHWK,CLNX FRSH Shirt,,Lollipop,,,PNK-BLU,333 VSN TAT,,,,
18774,CloneX #18774,https://clonex-assets.rtfkt.com/images/18774.png,https://clonex-assets.rtfkt.com/18774,Human,BRWN Stylish,SPACE TRIP Tee,S-PDLCK,,,,YLLW,,,,Sword Sheath,
18773,CloneX #18773,https://clonex-assets.rtfkt.com/images/18773.png,https://clonex-assets.rtfkt.com/18773,Human,DRIP,PURP CAMO PFA JCKT,,SFTY Mask,,,BLU-PURP,,,,,
18772,CloneX #18772,https://clonex-assets.rtfkt.com/images/18772.png,https://clonex-assets.rtfkt.com/18772,Robot,BLCK Curtains,FLOOR Tee,S-HIRE CBLE,,,,,,,,,
18771,CloneX #18771,https://clonex-assets.rtfkt.com/images/18771.png,https://clonex-assets.rtfkt.com/18771,Human,BRED Buns,GRDNT PFA JCKT,,,,,YLLW,STARVSN TAT,,,,
18770,CloneX #18770,https://clonex-assets.rtfkt.com/images/18770.png,https://clonex-assets.rtfkt.com/18770,Angel,YU-BRED,HVY MTL HOODIE,,GLD GRILLZ,,,,,,,,
18769,CloneX #18769,https://clonex-assets.rtfkt.com/images/18769.png,https://clonex-assets.rtfkt.com/18769,Demon,RD Wrap,ORNG FRSH Shirt,,SPIDERZ,ICE,ICE,,,,,,
18768,CloneX #18768,https://clonex-assets.rtfkt.com/images/18768.png,https://clonex-assets.rtfkt.com/18768,Human,PURP BRDZ,WAGMI Tee,,,MURAKAMI DRIP,MURAKAMI DRIP,YLLW Breezy,Sword VSN  TAT,,,,
18767,CloneX #18767,https://clonex-assets.rtfkt.com/images/18767.png,https://clonex-assets.rtfkt.com/18767,Angel,CYBR DRDZ,MONO Tee,CHRM,MAD,,,,,,,,
18766,CloneX #18766,https://clonex-assets.rtfkt.com/images/18766.png,https://clonex-assets.rtfkt.com/18766,Robot,GRN Shape Up,BLU Waistcoat,,RNBW GRILLZ,,,,,,,,
18765,CloneX #18765,https://clonex-assets.rtfkt.com/images/18765.png,https://clonex-assets.rtfkt.com/18765,Angel,PURP Shape Up,SPACE TRIP Tee,RBY Two Piece,,Divine,Divine,,,,,,
18764,CloneX #18764,https://clonex-assets.rtfkt.com/images/18764.png,https://clonex-assets.rtfkt.com/18764,Robot,BLND Ponytail,BLU BLW UP JCKT,,,,,,,3RD Eye,,,
18763,CloneX #18763,https://clonex-assets.rtfkt.com/images/18763.png,https://clonex-assets.rtfkt.com/18763,Human,RD Stylish,Blade Melt Tee,GPURP Two Piece,,,,CLSD PNK-BLU,,,,,
18762,CloneX #18762,https://clonex-assets.rtfkt.com/images/18762.png,https://clonex-assets.rtfkt.com/18762,Human,WHT Otaku,Blade Melt Tee,,WHT Long Beard,,,BRWN,,VSN Glasses,,,
18761,CloneX #18761,https://clonex-assets.rtfkt.com/images/18761.png,https://clonex-assets.rtfkt.com/18761,Robot,YU-RD,GRN TCTL Vest,,,MURAKAMI DRIP,MURAKAMI DRIP,SPINNING,,,,GRY UNDRWRLD WINGZ,
18760,CloneX #18760,https://clonex-assets.rtfkt.com/images/18760.png,https://clonex-assets.rtfkt.com/18760,Angel,BLCK BRDZ,PNK BBL Vest,,Pilot Mask,MURAKAMI DRIP,MURAKAMI DRIP,WIDE-OPEN,,,,,
